unique_id,domain,iat_type,IAT_score,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,complete_iat_data,complete_individual_differences_data,exclude_iat
440109,African Americans - European Americans,Evaluation,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,4,5,5,5,2,2,5,2,4,5,4,5,3,3,3,6,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
355243,African Americans - European Americans,Evaluation,-0.39,3,4,3,4,4,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,3,5,4,TRUE,TRUE,FALSE
214625,African Americans - European Americans,Evaluation,-0.565,5,4,3,4,5,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,4,4,2,TRUE,TRUE,FALSE
214148,African Americans - European Americans,Evaluation,0.026,6,4,1,4,4,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,5,4,2,TRUE,TRUE,FALSE
213400,African Americans - European Americans,Evaluation,0.519,2,4,1,3,5,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,4,4,6,TRUE,TRUE,FALSE
216503,African Americans - European Americans,Evaluation,0.851,3,5,6,2,4,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,2,6,4,TRUE,TRUE,FALSE
369479,African Americans - European Americans,Evaluation,-0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,4,6,4,6,4,6,3,4,5,2,5,3,6,2,5,4,5,4,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
220525,African Americans - European Americans,Evaluation,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,4,2,6,6,6,4,6,4,3,5,4,6,6,5,4,2,5,4,3,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
225948,African Americans - European Americans,Evaluation,-0.051,4,5,3,3,2,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,3,6,1,TRUE,TRUE,FALSE
227399,African Americans - European Americans,Evaluation,-0.414,5,3,5,3,4,6,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,4,5,4,TRUE,TRUE,FALSE
228671,African Americans - European Americans,Evaluation,0.41,2,5,1,6,5,4,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,2,5,1,TRUE,TRUE,FALSE
232178,African Americans - European Americans,Evaluation,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,4,4,2,5,2,5,4,4,2,NA,4,5,5,4,6,2,6,6,1,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
